label,n,sharpe,cagr,mdd,calmar,win,min_yr,risk_pct,cap
CCI_ETH_4h,115,1.31,0.165,-0.111,1.5,0.47,0.044,0.02,3.0
CCI_ETH_4h,115,1.31,0.165,-0.111,1.5,0.47,0.044,0.02,5.0
CCI_ETH_4h,115,1.31,0.249,-0.162,1.54,0.47,0.061,0.03,3.0
CCI_ETH_4h,115,1.31,0.25,-0.162,1.55,0.47,0.061,0.03,5.0
CCI_ETH_4h,115,1.29,0.329,-0.21,1.56,0.47,0.076,0.04,3.0
CCI_ETH_4h,115,1.31,0.335,-0.21,1.59,0.47,0.076,0.04,5.0
CCI_ETH_4h,115,1.29,0.408,-0.256,1.59,0.47,0.087,0.05,3.0
CCI_ETH_4h,115,1.31,0.419,-0.256,1.63,0.47,0.087,0.05,5.0
CCI_ETH_4h,115,1.29,0.484,-0.3,1.61,0.47,0.096,0.06,3.0
CCI_ETH_4h,115,1.3,0.497,-0.3,1.66,0.47,0.096,0.06,5.0
CCI_ETH_4h,115,1.27,0.61,-0.369,1.65,0.47,0.104,0.08,3.0
CCI_ETH_4h,115,1.29,0.649,-0.381,1.71,0.47,0.104,0.08,5.0
STF_SOL_4h,125,0.65,0.078,-0.213,0.37,0.44,-0.104,0.02,3.0
STF_SOL_4h,125,0.65,0.078,-0.213,0.37,0.44,-0.104,0.02,5.0
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,0.03,3.0
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,0.03,5.0
STF_SOL_4h,125,0.65,0.143,-0.385,0.37,0.44,-0.204,0.04,3.0
STF_SOL_4h,125,0.65,0.143,-0.385,0.37,0.44,-0.204,0.04,5.0
STF_SOL_4h,125,0.65,0.169,-0.458,0.37,0.44,-0.252,0.05,3.0
STF_SOL_4h,125,0.65,0.169,-0.458,0.37,0.44,-0.252,0.05,5.0
STF_SOL_4h,125,0.65,0.191,-0.523,0.37,0.44,-0.299,0.06,3.0
STF_SOL_4h,125,0.65,0.191,-0.523,0.37,0.44,-0.299,0.06,5.0
STF_SOL_4h,125,0.65,0.222,-0.632,0.35,0.44,-0.387,0.08,3.0
STF_SOL_4h,125,0.65,0.222,-0.632,0.35,0.44,-0.387,0.08,5.0
STF_AVAX_4h,110,0.67,0.075,-0.164,0.45,0.38,-0.037,0.02,3.0
STF_AVAX_4h,110,0.67,0.075,-0.164,0.45,0.38,-0.037,0.02,5.0
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,0.03,3.0
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,0.03,5.0
STF_AVAX_4h,110,0.66,0.136,-0.304,0.45,0.38,-0.077,0.04,3.0
STF_AVAX_4h,110,0.66,0.136,-0.304,0.45,0.38,-0.077,0.04,5.0
STF_AVAX_4h,110,0.66,0.161,-0.365,0.44,0.38,-0.097,0.05,3.0
STF_AVAX_4h,110,0.66,0.161,-0.365,0.44,0.38,-0.097,0.05,5.0
STF_AVAX_4h,110,0.65,0.181,-0.421,0.43,0.38,-0.118,0.06,3.0
STF_AVAX_4h,110,0.65,0.181,-0.421,0.43,0.38,-0.118,0.06,5.0
STF_AVAX_4h,110,0.64,0.208,-0.52,0.4,0.38,-0.161,0.08,3.0
STF_AVAX_4h,110,0.64,0.21,-0.52,0.4,0.38,-0.161,0.08,5.0
STF_DOGE_4h,114,0.46,0.05,-0.323,0.16,0.36,-0.18,0.02,3.0
STF_DOGE_4h,114,0.46,0.05,-0.323,0.16,0.36,-0.18,0.02,5.0
STF_DOGE_4h,114,0.46,0.07,-0.447,0.16,0.36,-0.259,0.03,3.0
STF_DOGE_4h,114,0.46,0.07,-0.447,0.16,0.36,-0.259,0.03,5.0
STF_DOGE_4h,114,0.46,0.087,-0.551,0.16,0.36,-0.331,0.04,3.0
STF_DOGE_4h,114,0.46,0.087,-0.551,0.16,0.36,-0.331,0.04,5.0
STF_DOGE_4h,114,0.46,0.1,-0.637,0.16,0.36,-0.397,0.05,3.0
STF_DOGE_4h,114,0.46,0.1,-0.637,0.16,0.36,-0.397,0.05,5.0
STF_DOGE_4h,114,0.46,0.11,-0.707,0.16,0.36,-0.454,0.06,3.0
STF_DOGE_4h,114,0.46,0.109,-0.708,0.15,0.36,-0.457,0.06,5.0
STF_DOGE_4h,114,0.49,0.129,-0.803,0.16,0.36,-0.537,0.08,3.0
STF_DOGE_4h,114,0.46,0.117,-0.814,0.14,0.36,-0.561,0.08,5.0
VWZ_INJ_4h,23,0.59,0.031,-0.079,0.39,0.48,-0.038,0.02,3.0
VWZ_INJ_4h,23,0.59,0.031,-0.079,0.39,0.48,-0.038,0.02,5.0
VWZ_INJ_4h,23,0.59,0.046,-0.116,0.39,0.48,-0.057,0.03,3.0
VWZ_INJ_4h,23,0.59,0.046,-0.116,0.39,0.48,-0.057,0.03,5.0
VWZ_INJ_4h,23,0.59,0.06,-0.152,0.39,0.48,-0.078,0.04,3.0
VWZ_INJ_4h,23,0.59,0.06,-0.152,0.39,0.48,-0.078,0.04,5.0
VWZ_INJ_4h,23,0.59,0.073,-0.187,0.39,0.48,-0.099,0.05,3.0
VWZ_INJ_4h,23,0.59,0.073,-0.187,0.39,0.48,-0.099,0.05,5.0
VWZ_INJ_4h,23,0.59,0.086,-0.22,0.39,0.48,-0.12,0.06,3.0
VWZ_INJ_4h,23,0.59,0.086,-0.22,0.39,0.48,-0.12,0.06,5.0
VWZ_INJ_4h,23,0.6,0.11,-0.284,0.39,0.48,-0.164,0.08,3.0
VWZ_INJ_4h,23,0.6,0.11,-0.284,0.39,0.48,-0.164,0.08,5.0
LATBB_AVAX_4h,55,0.53,0.038,-0.194,0.2,0.4,-0.13,0.02,3.0
LATBB_AVAX_4h,55,0.53,0.038,-0.194,0.2,0.4,-0.13,0.02,5.0
LATBB_AVAX_4h,55,0.53,0.055,-0.278,0.2,0.4,-0.19,0.03,3.0
LATBB_AVAX_4h,55,0.53,0.055,-0.278,0.2,0.4,-0.19,0.03,5.0
LATBB_AVAX_4h,55,0.52,0.069,-0.353,0.2,0.4,-0.247,0.04,3.0
LATBB_AVAX_4h,55,0.52,0.069,-0.353,0.2,0.4,-0.247,0.04,5.0
LATBB_AVAX_4h,55,0.52,0.083,-0.422,0.2,0.4,-0.301,0.05,3.0
LATBB_AVAX_4h,55,0.51,0.082,-0.422,0.19,0.4,-0.301,0.05,5.0
LATBB_AVAX_4h,55,0.52,0.096,-0.484,0.2,0.4,-0.353,0.06,3.0
LATBB_AVAX_4h,55,0.51,0.093,-0.484,0.19,0.4,-0.353,0.06,5.0
LATBB_AVAX_4h,55,0.51,0.114,-0.59,0.19,0.4,-0.447,0.08,3.0
LATBB_AVAX_4h,55,0.5,0.109,-0.592,0.18,0.4,-0.447,0.08,5.0
BB_AVAX_4h,264,1.0,0.199,-0.172,1.16,0.39,0.064,0.02,3.0
BB_AVAX_4h,264,1.0,0.199,-0.172,1.16,0.39,0.064,0.02,5.0
BB_AVAX_4h,264,1.0,0.293,-0.25,1.17,0.39,0.085,0.03,3.0
BB_AVAX_4h,264,1.0,0.293,-0.25,1.17,0.39,0.085,0.03,5.0
BB_AVAX_4h,264,1.0,0.381,-0.326,1.17,0.39,0.098,0.04,3.0
BB_AVAX_4h,264,1.0,0.381,-0.326,1.17,0.39,0.098,0.04,5.0
BB_AVAX_4h,264,1.0,0.46,-0.413,1.12,0.39,0.104,0.05,3.0
BB_AVAX_4h,264,1.0,0.462,-0.413,1.12,0.39,0.104,0.05,5.0
BB_AVAX_4h,264,1.0,0.525,-0.495,1.06,0.39,0.102,0.06,3.0
BB_AVAX_4h,264,1.0,0.533,-0.495,1.08,0.39,0.102,0.06,5.0
BB_AVAX_4h,264,0.99,0.625,-0.642,0.97,0.39,0.065,0.08,3.0
BB_AVAX_4h,264,1.01,0.642,-0.643,1.0,0.39,0.076,0.08,5.0
