label,n,sharpe,cagr,mdd,calmar,wr,min_yr,pos_yrs,pf,coin,sig,exit
ETH_CCI_baseline,100,1.217,0.2845,-0.291,0.978,0.42,-0.1492,5,1.97,ETH,CCI,baseline
ETH_CCI_V41,98,1.58,0.5387,-0.2788,1.933,0.408,-0.1376,5,2.56,ETH,CCI,V41
ETH_CCI_V47,130,-0.653,-0.0952,-0.4503,-0.211,0.085,-0.1987,1,0.57,ETH,CCI,V47
ETH_STF_baseline,124,0.537,0.1104,-0.551,0.2,0.315,-0.1779,4,1.32,ETH,STF,baseline
ETH_STF_V41,122,0.498,0.1133,-0.6565,0.173,0.246,-0.3663,4,1.34,ETH,STF,V41
ETH_STF_V47,136,-0.246,-0.0486,-0.5101,-0.095,0.088,-0.2232,1,0.86,ETH,STF,V47
ETH_VWZ_baseline,26,-0.669,-0.0727,-0.3658,-0.199,0.192,-0.2206,2,0.37,ETH,VWZ,baseline
ETH_VWZ_V41,28,-0.966,-0.1141,-0.4709,-0.242,0.071,-0.2218,0,0.21,ETH,VWZ,V41
ETH_VWZ_V47,27,-1.338,-0.0712,-0.332,-0.215,0.0,-0.1714,0,0.0,ETH,VWZ,V47
ETH_BBBRK_baseline,218,0.497,0.1193,-0.338,0.353,0.294,-0.2618,5,1.21,ETH,BBBRK,baseline
ETH_BBBRK_V41,220,0.788,0.28,-0.6004,0.466,0.245,-0.3929,4,1.39,ETH,BBBRK,V41
ETH_BBBRK_V47,313,-1.324,-0.2704,-0.8851,-0.305,0.064,-0.5217,1,0.55,ETH,BBBRK,V47
ETH_LATBB_baseline,55,0.491,0.0694,-0.2277,0.305,0.327,-0.0879,4,1.48,ETH,LATBB,baseline
ETH_LATBB_V41,54,0.456,0.0764,-0.3148,0.243,0.259,-0.1805,4,1.47,ETH,LATBB,V41
ETH_LATBB_V47,68,-0.465,-0.0532,-0.3334,-0.159,0.074,-0.1584,1,0.61,ETH,LATBB,V47
BTC_CCI_baseline,100,0.058,-0.011,-0.4916,-0.022,0.32,-0.2396,3,1.03,BTC,CCI,baseline
BTC_CCI_V41,105,-0.021,-0.034,-0.5229,-0.065,0.276,-0.1579,2,0.99,BTC,CCI,V41
BTC_CCI_V47,135,-0.322,-0.0598,-0.3829,-0.156,0.111,-0.2258,3,0.77,BTC,CCI,V47
BTC_STF_baseline,114,0.081,-0.0095,-0.5752,-0.016,0.254,-0.1719,3,1.05,BTC,STF,baseline
BTC_STF_V41,110,-0.098,-0.0611,-0.6674,-0.092,0.236,-0.3859,4,0.94,BTC,STF,V41
BTC_STF_V47,129,-1.583,-0.1802,-0.6606,-0.273,0.023,-0.2617,0,0.23,BTC,STF,V47
BTC_VWZ_baseline,23,-0.67,-0.0638,-0.3668,-0.174,0.174,-0.1493,1,0.38,BTC,VWZ,baseline
BTC_VWZ_V41,23,-0.627,-0.066,-0.3396,-0.194,0.174,-0.1622,2,0.4,BTC,VWZ,V41
BTC_VWZ_V47,26,-1.035,-0.0559,-0.2637,-0.212,0.0,-0.0934,0,0.0,BTC,VWZ,V47
BTC_BBBRK_baseline,224,0.07,-0.0363,-0.6152,-0.059,0.263,-0.3309,2,1.03,BTC,BBBRK,baseline
BTC_BBBRK_V41,228,0.024,-0.0624,-0.6921,-0.09,0.215,-0.458,3,1.01,BTC,BBBRK,V41
BTC_BBBRK_V47,325,-1.289,-0.2688,-0.8404,-0.32,0.068,-0.4771,1,0.53,BTC,BBBRK,V47
BTC_LATBB_baseline,59,0.032,-0.0084,-0.2961,-0.028,0.305,-0.1662,3,1.03,BTC,LATBB,baseline
BTC_LATBB_V41,59,-0.146,-0.0401,-0.313,-0.128,0.254,-0.1665,2,0.91,BTC,LATBB,V41
BTC_LATBB_V47,71,-0.999,-0.1126,-0.4769,-0.236,0.085,-0.1954,1,0.32,BTC,LATBB,V47
SOL_CCI_baseline,102,0.546,0.0975,-0.2366,0.412,0.304,-0.0389,5,1.34,SOL,CCI,baseline
SOL_CCI_V41,108,0.53,0.1052,-0.315,0.334,0.324,-0.1443,4,1.37,SOL,CCI,V41
SOL_CCI_V47,130,-1.311,-0.1848,-0.7177,-0.257,0.062,-0.2966,1,0.39,SOL,CCI,V47
SOL_STF_baseline,115,1.707,0.4839,-0.243,1.991,0.383,0.0075,6,2.14,SOL,STF,baseline
SOL_STF_V41,126,0.482,0.0995,-0.359,0.277,0.333,-0.1526,3,1.32,SOL,STF,V41
SOL_STF_V47,124,0.19,0.0175,-0.382,0.046,0.105,-0.1479,2,1.16,SOL,STF,V47
SOL_VWZ_baseline,27,0.197,0.0165,-0.3458,0.048,0.333,-0.1428,3,1.26,SOL,VWZ,baseline
SOL_VWZ_V41,27,-0.085,-0.0192,-0.3981,-0.048,0.333,-0.1385,2,0.84,SOL,VWZ,V41
SOL_VWZ_V47,31,0.425,0.0269,-0.2331,0.115,0.129,-0.0638,2,1.74,SOL,VWZ,V47
SOL_BBBRK_baseline,209,1.188,0.4313,-0.4397,0.981,0.321,-0.1016,5,1.57,SOL,BBBRK,baseline
SOL_BBBRK_V41,235,0.813,0.2883,-0.4974,0.58,0.289,-0.2469,4,1.41,SOL,BBBRK,V41
SOL_BBBRK_V47,329,-1.097,-0.2277,-0.7453,-0.305,0.055,-0.2751,0,0.59,SOL,BBBRK,V47
SOL_LATBB_baseline,48,0.658,0.0933,-0.3061,0.305,0.312,-0.1186,3,1.65,SOL,LATBB,baseline
SOL_LATBB_V41,51,0.501,0.0773,-0.2372,0.326,0.333,-0.0907,3,1.52,SOL,LATBB,V41
SOL_LATBB_V47,60,0.168,0.0123,-0.3196,0.038,0.1,-0.1693,3,1.2,SOL,LATBB,V47
AVAX_CCI_baseline,94,0.254,0.0313,-0.3432,0.091,0.277,-0.1669,5,1.16,AVAX,CCI,baseline
AVAX_CCI_V41,97,0.166,0.0127,-0.359,0.035,0.227,-0.1785,3,1.12,AVAX,CCI,V41
AVAX_CCI_V47,127,0.327,0.0412,-0.2792,0.148,0.126,-0.1966,4,1.24,AVAX,CCI,V47
AVAX_STF_baseline,106,1.326,0.3303,-0.2455,1.346,0.415,-0.0057,5,1.93,AVAX,STF,baseline
AVAX_STF_V41,109,1.236,0.3442,-0.3284,1.048,0.339,-0.0526,5,1.9,AVAX,STF,V41
AVAX_STF_V47,112,0.201,0.0182,-0.3017,0.06,0.125,-0.1518,3,1.18,AVAX,STF,V47
AVAX_VWZ_baseline,18,-0.318,-0.0294,-0.281,-0.105,0.222,-0.133,1,0.64,AVAX,VWZ,baseline
AVAX_VWZ_V41,18,-0.208,-0.0253,-0.3083,-0.082,0.167,-0.1455,1,0.74,AVAX,VWZ,V41
AVAX_VWZ_V47,19,-0.922,-0.0473,-0.2295,-0.206,0.0,-0.0917,0,0.0,AVAX,VWZ,V47
AVAX_BBBRK_baseline,203,1.182,0.4326,-0.386,1.121,0.36,-0.2371,5,1.62,AVAX,BBBRK,baseline
AVAX_BBBRK_V41,214,0.814,0.2798,-0.3974,0.704,0.271,-0.03,5,1.41,AVAX,BBBRK,V41
AVAX_BBBRK_V47,333,-1.413,-0.2599,-0.8268,-0.314,0.033,-0.3962,0,0.46,AVAX,BBBRK,V47
AVAX_LATBB_baseline,52,0.965,0.1505,-0.3023,0.498,0.327,-0.1629,3,1.87,AVAX,LATBB,baseline
AVAX_LATBB_V41,52,0.928,0.1565,-0.2872,0.545,0.308,-0.1187,5,1.89,AVAX,LATBB,V41
AVAX_LATBB_V47,60,0.659,0.0758,-0.2767,0.274,0.183,-0.2229,3,1.67,AVAX,LATBB,V47
DOGE_CCI_baseline,101,0.107,0.0013,-0.3907,0.003,0.297,-0.1234,2,1.06,DOGE,CCI,baseline
DOGE_CCI_V41,104,0.248,0.0312,-0.4209,0.074,0.26,-0.2784,3,1.15,DOGE,CCI,V41
DOGE_CCI_V47,134,-0.338,-0.062,-0.5217,-0.119,0.097,-0.2973,2,0.85,DOGE,CCI,V47
DOGE_STF_baseline,106,1.296,0.3428,-0.3311,1.035,0.415,-0.1578,5,2.02,DOGE,STF,baseline
DOGE_STF_V41,108,0.891,0.2285,-0.5073,0.45,0.333,-0.3558,5,1.65,DOGE,STF,V41
DOGE_STF_V47,115,-0.448,-0.061,-0.4557,-0.134,0.052,-0.1251,1,0.71,DOGE,STF,V47
DOGE_VWZ_baseline,19,-0.261,-0.0247,-0.2024,-0.122,0.263,-0.0892,2,0.73,DOGE,VWZ,baseline
DOGE_VWZ_V41,21,-0.511,-0.0558,-0.3224,-0.173,0.19,-0.1087,1,0.46,DOGE,VWZ,V41
DOGE_VWZ_V47,22,-0.824,-0.0444,-0.2183,-0.204,0.045,-0.091,0,0.07,DOGE,VWZ,V47
DOGE_BBBRK_baseline,233,0.369,0.071,-0.4753,0.149,0.296,-0.2525,3,1.16,DOGE,BBBRK,baseline
DOGE_BBBRK_V41,233,0.339,0.0569,-0.4565,0.125,0.253,-0.2571,4,1.15,DOGE,BBBRK,V41
DOGE_BBBRK_V47,336,-1.806,-0.3298,-0.8887,-0.371,0.045,-0.5231,0,0.39,DOGE,BBBRK,V47
DOGE_LATBB_baseline,57,-0.269,-0.0505,-0.4579,-0.11,0.281,-0.2651,1,0.82,DOGE,LATBB,baseline
DOGE_LATBB_V41,59,-0.451,-0.0897,-0.5399,-0.166,0.22,-0.2294,1,0.68,DOGE,LATBB,V41
DOGE_LATBB_V47,69,-0.014,-0.0085,-0.2,-0.043,0.145,-0.0429,3,0.99,DOGE,LATBB,V47
LINK_CCI_baseline,110,0.037,-0.0157,-0.4102,-0.038,0.291,-0.268,3,1.03,LINK,CCI,baseline
LINK_CCI_V41,119,-0.148,-0.0742,-0.5245,-0.142,0.21,-0.2985,2,0.94,LINK,CCI,V41
LINK_CCI_V47,149,-0.86,-0.1353,-0.5968,-0.227,0.101,-0.3361,2,0.57,LINK,CCI,V47
LINK_STF_baseline,123,0.224,0.0254,-0.6057,0.042,0.333,-0.4112,4,1.13,LINK,STF,baseline
LINK_STF_V41,121,0.407,0.0831,-0.4496,0.185,0.273,-0.301,4,1.25,LINK,STF,V41
LINK_STF_V47,143,-0.808,-0.1229,-0.5819,-0.211,0.07,-0.3421,1,0.58,LINK,STF,V47
LINK_VWZ_baseline,23,0.282,0.0232,-0.1454,0.16,0.435,-0.1043,2,1.42,LINK,VWZ,baseline
LINK_VWZ_V41,22,0.317,0.0329,-0.1799,0.183,0.273,-0.1087,2,1.52,LINK,VWZ,V41
LINK_VWZ_V47,28,-0.085,-0.0079,-0.1457,-0.054,0.107,-0.1133,1,0.89,LINK,VWZ,V47
LINK_BBBRK_baseline,215,0.444,0.0997,-0.5364,0.186,0.302,-0.311,3,1.19,LINK,BBBRK,baseline
LINK_BBBRK_V41,220,0.136,-0.0443,-0.7014,-0.063,0.214,-0.3814,2,1.05,LINK,BBBRK,V41
LINK_BBBRK_V47,309,-0.733,-0.1736,-0.7206,-0.241,0.065,-0.2943,2,0.7,LINK,BBBRK,V47
LINK_LATBB_baseline,64,-0.462,-0.0858,-0.4823,-0.178,0.25,-0.133,1,0.7,LINK,LATBB,baseline
LINK_LATBB_V41,64,-0.724,-0.1454,-0.5687,-0.256,0.156,-0.2892,1,0.52,LINK,LATBB,V41
LINK_LATBB_V47,77,-0.56,-0.0666,-0.4101,-0.162,0.052,-0.1655,1,0.58,LINK,LATBB,V47
