strategy_id,family,variant,asset,tf,n_trades,win_rate,avg_pnl_usd,total_pnl_usd,sharpe_ann,calmar,max_dd_usd,profit_factor,avg_bars_held,avg_fees,avg_funding,oos_sharpe,oos_pf
B1_BTC_1h,B_mean_reversion,B1,BTC,1h,1173,0.4219948849104859,-0.4706848879623572,-552.113373579845,-2.8757814189924114,-0.7607904725046893,-725.7101574394937,0.8058102372030799,7.742540494458653,0.22500000000000006,-0.0019876614023875785,-3.4332233651082196,0.7953655906498238
B1_BTC_4h,B_mean_reversion,B1,BTC,4h,346,0.3872832369942196,-1.0837023331091924,-374.9610072557806,-1.599192901097686,-0.7079125947632359,-529.671332350271,0.7807078836807533,7.078034682080925,0.22500000000000006,-0.034455524855491214,-1.5998909937950685,0.8143297810841731
B1_BTC_1d,B_mean_reversion,B1,BTC,1d,41,0.34146341463414637,-5.062469350413032,-207.56124336693432,-1.7869431615033438,-0.6117847763683009,-339.2716709936245,0.5714539761490822,6.658536585365853,0.22499999999999998,-0.2645374609756293,-4.705719738335897,0.19486084650511798
B1_ETH_1h,B_mean_reversion,B1,ETH,1h,1151,0.38748913987836664,-0.9254710051911316,-1065.2171269749924,-4.478176545786697,-0.9254167356188091,-1151.0674985391327,0.7194539821562218,7.245873153779322,0.22500000000000006,-0.005352395938314971,-6.851643794300927,0.6173598037334037
B1_ETH_4h,B_mean_reversion,B1,ETH,4h,353,0.4164305949008499,-0.7906914688297231,-279.11408849689224,-0.9065721406728564,-0.4968197409957412,-561.8015257153094,0.8731139117187482,6.328611898016997,0.22500000000000003,-0.022022616288951,-3.684238619802746,0.6183328349082144
B1_ETH_1d,B_mean_reversion,B1,ETH,1d,33,0.2727272727272727,-4.874434487357025,-160.85633808278183,-1.161411077947895,-0.5902948290327368,-272.50168927680204,0.6930919447997529,5.0,0.225,-0.288604324999946,-1.2564793375151573,0.7130114252002419
B1_SOL_1h,B_mean_reversion,B1,SOL,1h,608,0.4276315789473684,-0.6652150975108901,-404.4507792866212,-2.3204352313130503,-0.983234318899235,-411.34729688790554,0.8413691809903661,7.171052631578948,0.225,-0.015535538692435102,-2.4293244642736003,0.8409088263434613
B1_SOL_4h,B_mean_reversion,B1,SOL,4h,181,0.425414364640884,-1.9571044721641229,-354.2359094617062,-2.061145575531067,-0.5475416513011919,-646.9570097907456,0.7707431898049941,6.1602209944751385,0.2250000000000001,-0.07023948052486526,1.5292168429496256,1.2229336787749432
B1_SOL_1d,B_mean_reversion,B1,SOL,1d,33,0.30303030303030304,-13.496747117937948,-445.3926548919523,-2.27102229483591,-0.8789282782924356,-506.7451644146122,0.5059937618591335,6.484848484848484,0.225,-0.3347736166667157,-0.6288661472537408,0.8489675271575547
B1_AVAX_1h,B_mean_reversion,B1,AVAX,1h,667,0.4362818590704648,-0.4461731501238164,-297.59749113258556,-1.5404780739262174,-0.8475926083742306,-351.1091156203073,0.888102876764242,7.077961019490255,0.22500000000000006,-0.0164722997751123,-7.003737341523597,0.6588650445874135
B1_AVAX_4h,B_mean_reversion,B1,AVAX,4h,175,0.38857142857142857,-3.151742684827971,-551.5549698448949,-2.5546375513620836,-0.8324532115234652,-662.5657300732844,0.6768008010909173,7.388571428571429,0.2250000000000001,-0.09019354699999918,-1.0816676921513753,0.8485927654725942
B1_LINK_1h,B_mean_reversion,B1,LINK,1h,662,0.4380664652567976,-0.5035772169868309,-333.36811764528204,-1.7984021619185917,-0.6636684864207659,-502.31120576957244,0.8709519792941064,7.945619335347432,0.22500000000000006,-0.007099889916918343,-4.287119853119964,0.7381429721596127
B1_LINK_4h,B_mean_reversion,B1,LINK,4h,183,0.4918032786885246,1.805992167362842,330.4965666274001,1.8567552854308609,1.7300843351982824,-191.02916540165216,1.2883110475043964,6.530054644808743,0.2250000000000001,-0.0353737627049118,2.3941340104440076,1.3392872286027024
B1_BNB_1h,B_mean_reversion,B1,BNB,1h,743,0.4306864064602961,-0.6578835677509577,-488.8074908389616,-2.875783043223585,-0.8575821260627082,-569.983300705149,0.7862741592281789,6.76043068640646,0.22500000000000006,0.0,0.41447940663751515,1.0311670511270532
B1_BNB_4h,B_mean_reversion,B1,BNB,4h,194,0.35051546391752575,-2.7297617625559267,-529.5737819358498,-4.148375421325417,-0.9824626407946523,-539.0268901293904,0.5584527804910493,6.051546391752577,0.22500000000000006,0.0,-4.822562903226383,0.5693970947516218
B1_ADA_1h,B_mean_reversion,B1,ADA,1h,707,0.4229137199434229,-0.8507490389570649,-601.4795705426449,-3.500999491467782,-0.976083347707741,-616.2174285169139,0.7851479561320671,6.57991513437058,0.22500000000000006,0.0,-4.967788329767412,0.6876518107234612
B1_ADA_4h,B_mean_reversion,B1,ADA,4h,187,0.40641711229946526,-1.9465226882288205,-363.9997426987894,-2.463408291944293,-0.7610247960317669,-478.30207977033547,0.7354809669087871,5.748663101604278,0.2250000000000001,0.0,0.7612662591433204,1.1067854794684775
B1_DOGE_1h,B_mean_reversion,B1,DOGE,1h,711,0.43037974683544306,-1.2845507215488587,-913.3155630212385,-4.162773477611415,-0.9854963918384725,-926.7568816943323,0.7246146994754304,6.187060478199719,0.22500000000000006,0.0,-12.892077661744734,0.430720131202973
B1_DOGE_4h,B_mean_reversion,B1,DOGE,4h,224,0.42857142857142855,-1.0037696154764224,-224.8443938667186,-1.080285956833777,-0.5536150669847724,-406.1385017776316,0.8665826410356143,5.816964285714286,0.22500000000000006,0.0,-2.1468813339464923,0.7708800452225538
B1_XRP_1h,B_mean_reversion,B1,XRP,1h,702,0.4472934472934473,-0.6295624360416254,-441.9528301012211,-2.734773947721759,-0.9772648274214142,-452.2344585626257,0.8281728287308092,6.215099715099715,0.22500000000000006,0.0,-4.573488736132045,0.7461253426036752
B1_XRP_4h,B_mean_reversion,B1,XRP,4h,194,0.3865979381443299,-3.075067968098857,-596.5631858111782,-3.132048502920031,-0.8633135870688604,-691.0156341181209,0.6450484647208633,5.938144329896907,0.22500000000000006,0.0,-2.2489910145233774,0.7579336158538871
B1_SUI_1h,B_mean_reversion,B1,SUI,1h,322,0.45652173913043476,-1.1211924560507998,-361.0239708483575,-4.156369314773907,-0.8833018482941182,-408.72095031340325,0.7526546674373537,6.89751552795031,0.22500000000000006,0.0,-5.227076610529009,0.678393526965913
B1_SUI_4h,B_mean_reversion,B1,SUI,4h,91,0.46153846153846156,0.09542509990618034,8.68368409146241,0.081978687271923,0.05505416476059065,-157.72983078073034,1.0117954097270918,8.131868131868131,0.2250000000000001,0.0,-0.5987467061804416,0.9128344092568071
B1_SUI_1d,B_mean_reversion,B1,SUI,1d,18,0.4444444444444444,3.672890484842269,66.11202872716085,0.5332816982669406,0.5589745831374971,-118.27376542968598,1.1748769590484809,6.055555555555555,0.22499999999999998,0.0,-2.472611416154903,0.45924170781081375
B1_TON_1h,B_mean_reversion,B1,TON,1h,160,0.4125,-0.8812448634592542,-140.99917815348067,-4.781097381490219,-1.0083552546492225,-139.83085574590493,0.7142551166236293,6.29375,0.22500000000000003,0.0,-8.852676271897948,0.5899464424082475
B1_TON_4h,B_mean_reversion,B1,TON,4h,42,0.47619047619047616,0.9007377041755331,37.83098357537239,1.2878635089031905,0.3602683791447017,-105.00778243482087,1.1544522832175341,4.666666666666667,0.22499999999999998,0.0,3.928495258226455,1.4789536506404317
B1_TON_1d,B_mean_reversion,B1,TON,1d,7,0.5714285714285714,-2.146778942753278,-15.027452599272944,-0.18373851094920568,-0.12819972487389117,-117.21907058736129,0.8966110680561227,21.428571428571427,0.22500000000000003,0.0,,
B2_BTC_1h,B_mean_reversion,B2,BTC,1h,4556,0.4962686567164179,-0.2670966776599501,-1216.8924634187326,-2.1144666197956488,-0.875473077429928,-1389.982735952416,0.8591464619192458,6.185689201053556,0.22500000000000003,-0.0008845969490779271,-3.696430645058679,0.7968344147899304
B2_BTC_4h,B_mean_reversion,B2,BTC,4h,1135,0.44669603524229073,-0.6801277834994383,-771.9450342718624,-1.322371557175356,-0.9972419936832452,-774.0799516682366,0.8352669175219407,6.015859030837005,0.2250000000000001,-0.006298465198239358,-1.9107904511438722,0.8050236836002175
B2_ETH_1h,B_mean_reversion,B2,ETH,1h,4579,0.4865691198951736,-0.3555870402896692,-1628.2330574863952,-1.89775292911117,-0.7844672854026352,-2075.5907706854714,0.858721712001706,6.272548591395501,0.22500000000000003,-0.0019000228816340673,-3.551309099250413,0.7974054523718802
B2_ETH_4h,B_mean_reversion,B2,ETH,4h,1118,0.47227191413237923,-0.5182290501063403,-579.3800780188885,-0.8270934492532359,-0.7869138313578622,-736.2687691219469,0.8960355882161265,6.10644007155635,0.22500000000000006,-0.015743477303221013,-1.2487369701128541,0.8572512170134756
B2_SOL_1h,B_mean_reversion,B2,SOL,1h,3075,0.4995121951219512,-0.2481065008679685,-762.9274901690031,-1.1185839085113447,-0.6766916139389803,-1127.4374832695933,0.9255523286920836,6.4435772357723575,0.22500000000000006,-0.0045300032682926315,-0.6560768115525346,0.9583757082836782
B2_SOL_4h,B_mean_reversion,B2,SOL,4h,777,0.49034749034749037,-0.17599119073240835,-136.7451551990813,-0.20934807962024857,-0.20616107049283924,-663.2928072801745,0.9729354307053633,6.346203346203346,0.22500000000000006,-0.02979513915701374,0.6871782101698514,1.0843023471814341
B2_AVAX_1h,B_mean_reversion,B2,AVAX,1h,3075,0.4738211382113821,-0.454105035148966,-1396.3729830830705,-2.0676857739367906,-0.7923219567297967,-1762.380773652183,0.8678678148103437,6.309268292682927,0.22500000000000006,-0.006537412219512098,-3.50714186753826,0.8060123035559004
B2_AVAX_4h,B_mean_reversion,B2,AVAX,4h,773,0.4721862871927555,-0.8263567868900212,-638.7737962659864,-0.9286647138092092,-0.7196201325383449,-887.654148881041,0.8808788833649901,6.490297542043985,0.2250000000000001,-0.031491643111254755,-1.063843872900766,0.8740721185751362
B2_LINK_1h,B_mean_reversion,B2,LINK,1h,3446,0.4944863609982589,-0.28705703615775596,-989.1985465996271,-1.4506088845235081,-0.8425241628051156,-1174.0892312288956,0.9049141951293288,6.422518862449216,0.22500000000000003,-0.003512739371735597,-1.6442165305809635,0.8997407661606015
B2_LINK_4h,B_mean_reversion,B2,LINK,4h,882,0.5011337868480725,0.41459836043137904,365.6757539004763,0.5502017242967256,0.7855008979162997,-465.53193620848214,1.0744239489895862,6.40702947845805,0.22500000000000006,-0.016806403401361986,0.7875998944109119,1.1051129489046887
B2_BNB_1h,B_mean_reversion,B2,BNB,1h,3342,0.4940155595451825,-0.24221522303670193,-809.4832753886578,-1.7417186211022957,-0.9374667244886609,-863.4794753170452,0.8847194639466064,6.045481747456613,0.22500000000000006,0.0,-2.4775124540891444,0.8555345371258033
B2_BNB_4h,B_mean_reversion,B2,BNB,4h,863,0.47740440324449596,-0.6123695206932036,-528.4748963582347,-1.132304573564606,-0.8694259380238651,-607.8434898772579,0.8573922567845392,6.2294322132097335,0.2250000000000001,0.0,-1.4447028129650479,0.8360893080080005
B2_ADA_1h,B_mean_reversion,B2,ADA,1h,3434,0.49097262667443214,-0.3238155018332411,-1111.98243329535,-1.7902612928323767,-0.9682033516981478,-1148.500912897095,0.8855502592576147,6.297903319743739,0.22500000000000003,0.0,-0.44210330921195024,0.9713303828738242
B2_ADA_4h,B_mean_reversion,B2,ADA,4h,849,0.46878680800942285,-0.44019323070823957,-373.7240528712954,-0.6153713356362397,-0.5695766149587111,-656.1436039616668,0.9226852874055234,6.191990577149587,0.22500000000000003,0.0,-2.076730462680622,0.7730313091049882
B2_DOGE_1h,B_mean_reversion,B2,DOGE,1h,3448,0.4950696055684455,-0.5983575377520808,-2063.1367901691747,-2.715474105559067,-0.9191610762609453,-2244.5867687977034,0.807524219756703,6.125580046403712,0.22500000000000006,0.0,-3.0330487953398957,0.8213858026432127
B2_DOGE_4h,B_mean_reversion,B2,DOGE,4h,846,0.4787234042553192,-0.8829732674760664,-746.9953842847522,-1.2431597130618117,-0.9392157181342707,-795.3395262258178,0.8476649650748014,5.877068557919622,0.22500000000000006,0.0,-0.6681814069959826,0.92348327048111
B2_XRP_1h,B_mean_reversion,B2,XRP,1h,3438,0.5017452006980803,-0.44992028389255123,-1546.8259360225911,-2.562302624767543,-0.9150924188099063,-1690.3494163291891,0.8308249025213639,6.14281559045957,0.22500000000000006,0.0,-2.753939392118758,0.8281961373383429
B2_XRP_4h,B_mean_reversion,B2,XRP,4h,842,0.47030878859857483,-0.7381780043271275,-621.5458796434414,-1.1403570040075492,-0.9013977809254561,-689.5356221149185,0.8597548029539034,5.751781472684086,0.22500000000000006,0.0,-2.3695449451594217,0.7500055113178
B2_SUI_1h,B_mean_reversion,B2,SUI,1h,1560,0.5,-0.08152962110731793,-127.18620892741596,-0.4279386239018994,-0.2645399574669543,-480.7826014083478,0.9741590854379957,6.052564102564102,0.22500000000000003,0.0,-1.7249008662373462,0.9048217057698739
B2_SUI_4h,B_mean_reversion,B2,SUI,4h,390,0.47435897435897434,-0.5958401843993175,-232.37767191573383,-0.7575971153123507,-0.5094116600478986,-456.1687337386113,0.9111080989680135,6.223076923076923,0.22500000000000006,0.0,-1.54604978323079,0.8315737692651254
B2_TON_1h,B_mean_reversion,B2,TON,1h,882,0.5,-0.2450110883812459,-216.0997799522589,-1.817495736871146,-0.9472319754964591,-228.13818108177526,0.8879754097602082,6.373015873015873,0.22500000000000006,0.0,-3.4434943177550896,0.7945657135043905
B2_TON_4h,B_mean_reversion,B2,TON,4h,200,0.495,-0.326792813532476,-65.3585627064952,-0.6175059633909099,-0.5051718251401849,-129.37887557042248,0.9245416983571078,5.755,0.22500000000000006,0.0,-2.409552097653921,0.7102321447013148
B3_BTC_1h,B_mean_reversion,B3,BTC,1h,3943,0.44331727111336544,-0.2605854841193018,-1027.488563882407,-1.5252439832198292,-0.9500303800846623,-1081.5323229882838,0.8837340180368147,8.663961450672078,0.22500000000000003,-0.0023374761793053516,-1.0179353735076113,0.9298733856603406
B3_BTC_4h,B_mean_reversion,B3,BTC,4h,961,0.4297606659729448,0.00494875518682246,4.755753734536384,0.007481757821406887,0.015994551848672392,-297.33585407903314,1.001175675419296,8.57856399583767,0.22500000000000006,-0.025512090868886693,-0.1525766220007926,0.9786337594954068
B3_BTC_1d,B_mean_reversion,B3,BTC,1d,121,0.3884297520661157,-5.338093947573175,-645.9093676563542,-1.4353195122140863,-0.8302893340004873,-777.9328737661167,0.5909110834157432,9.115702479338843,0.22500000000000006,-0.32115163636356575,-0.06281197191666088,0.9794003979771796
B3_ETH_1h,B_mean_reversion,B3,ETH,1h,3806,0.441408302679979,-0.38387387911059623,-1461.0239838949292,-1.5470415188942348,-0.7986577625446336,-1829.349256231988,0.8701811284672641,8.461639516552811,0.22500000000000006,-0.0038442810825006783,-1.4938333110347983,0.8958106634584576
B3_ETH_4h,B_mean_reversion,B3,ETH,4h,936,0.4188034188034188,-1.1925936217646866,-1116.2676299717466,-1.4786091885046047,-0.9460800291845819,-1179.8871084234258,0.8038183084888149,8.740384615384615,0.2250000000000001,-0.017525672889953266,-2.016240077524973,0.7654101866990165
B3_ETH_1d,B_mean_reversion,B3,ETH,1d,126,0.373015873015873,-2.5911368795545684,-326.4832468238756,-0.5497474324212848,-0.4820056947008892,-677.3431318617019,0.8217540418141188,8.15079365079365,0.22500000000000012,-0.1941126492063034,-1.6956145138979914,0.6098320898699295
B3_SOL_1h,B_mean_reversion,B3,SOL,1h,2847,0.45662100456621,-0.07267768742781963,-206.9133761070025,-0.2635712881375142,-0.2036864777031027,-1015.8424773224435,0.9802448629676177,8.222690551457674,0.22500000000000006,-0.009082827748506373,0.7884345581034012,1.0543761115944459
B3_SOL_4h,B_mean_reversion,B3,SOL,4h,697,0.406025824964132,-0.4352748542432605,-303.3865734075526,-0.39201614840138665,-0.3829698578230678,-792.1943913082509,0.9420261214313141,8.680057388809182,0.22500000000000006,-0.052697349139170103,-2.233022486532253,0.7465178186514838
B3_SOL_1d,B_mean_reversion,B3,SOL,1d,108,0.42592592592592593,-3.99893390177044,-431.88486139120755,-0.71339351978902,-0.8356218124547077,-516.8424937622324,0.7982551427180817,7.055555555555555,0.22500000000000012,-0.2454353833333689,-0.9525893253439386,0.7515895014529155
B3_AVAX_1h,B_mean_reversion,B3,AVAX,1h,2751,0.42639040348964014,-0.5406569566038153,-1487.3472876170958,-2.020618014796351,-0.8329252534830127,-1785.6911906530756,0.858522411297541,8.197746274082151,0.22500000000000006,-0.009409462450018342,-1.3153788006214042,0.9131620479549755
B3_AVAX_4h,B_mean_reversion,B3,AVAX,4h,718,0.36768802228412256,-2.50320126203488,-1797.2985061410436,-2.431605503594487,-0.8851751334368259,-2030.443963289797,0.7005887201340906,8.435933147632312,0.22500000000000006,-0.05977320383008349,-0.6881854291255439,0.9101936673161183
B3_LINK_1h,B_mean_reversion,B3,LINK,1h,3168,0.4340277777777778,-0.3843299974259701,-1217.5574318454733,-1.5643660289212609,-0.7794464856418553,-1562.0795709186427,0.8903372559779716,8.353219696969697,0.22500000000000006,-0.0036011307686230547,-1.219053296427031,0.9142260749079226
B3_LINK_4h,B_mean_reversion,B3,LINK,4h,777,0.40025740025740025,-1.3562490142425696,-1053.8054840664765,-1.4450115661991811,-0.9208532617301324,-1144.3793792797658,0.8128823379889867,8.384813384813384,0.22500000000000006,-0.024026000160864838,-1.608726107975945,0.8001940145281273
B3_BNB_1h,B_mean_reversion,B3,BNB,1h,2957,0.4318566114305039,-0.42381366576792034,-1253.2170096757404,-2.2232642916319794,-0.8943476518839398,-1401.2638228946469,0.8341222649640646,8.466012850862361,0.225,0.0,-2.315111703765098,0.8489171316920189
B3_BNB_4h,B_mean_reversion,B3,BNB,4h,740,0.43108108108108106,-0.3130560627580408,-231.66148644095023,-0.4674293825973511,-0.4860871236070404,-476.58428950327146,0.9318331369720239,8.458108108108108,0.22500000000000003,0.0,-0.14431274824121157,0.9794545392630308
B3_ADA_1h,B_mean_reversion,B3,ADA,1h,3095,0.44878836833602587,-0.12544617029209362,-388.2558970540298,-0.5331930600588671,-0.4362216844410996,-890.0426340599619,0.9595433682036291,8.81389337641357,0.22500000000000006,0.0,-0.7669598733864686,0.9450882148553595
B3_ADA_4h,B_mean_reversion,B3,ADA,4h,780,0.4346153846153846,-0.4247768546877972,-331.3259466564818,-0.4526347906861676,-0.5239980702630007,-632.3037535046369,0.9358529474971892,8.38974358974359,0.22500000000000006,0.0,-0.039533292276863384,0.9939657998375372
B3_DOGE_1h,B_mean_reversion,B3,DOGE,1h,2703,0.44099149093599704,-0.4012184115135351,-1084.4933663210854,-1.4405412534835271,-0.8462823414621495,-1281.4793753670565,0.8854673015584551,8.012208657047724,0.22500000000000006,0.0,-2.2466956779907465,0.8517912026209301
B3_DOGE_4h,B_mean_reversion,B3,DOGE,4h,682,0.43255131964809385,-0.611576123253839,-417.09491605911825,-0.5517708373522185,-0.4785289003361015,-871.6190720480325,0.9125856323015583,9.435483870967742,0.22500000000000006,0.0,-0.07178725121418104,0.9896365230203776
B3_XRP_1h,B_mean_reversion,B3,XRP,1h,2904,0.44387052341597794,-0.3267484273883838,-948.8774331358666,-1.4269999267594518,-0.9045587834283327,-1048.9947701790738,0.8901722182030284,8.342630853994491,0.22500000000000003,0.0,-3.2411496313042356,0.7802682170379129
B3_XRP_4h,B_mean_reversion,B3,XRP,4h,698,0.4584527220630373,0.38066144664445506,265.7016897578296,0.42388730759412224,0.7411868532947935,-358.4813850606058,1.071166266449453,9.060171919770774,0.22500000000000006,0.0,0.938129085071351,1.1466974805054955
B3_SUI_1h,B_mean_reversion,B3,SUI,1h,1411,0.4316087880935507,-0.21159066793842843,-298.55443246112253,-0.8641328244364,-0.7271359273714526,-410.5895764776425,0.9423888211611534,7.8929836995038976,0.22500000000000006,0.0,-0.8742270476821273,0.942450871172352
B3_SUI_4h,B_mean_reversion,B3,SUI,4h,332,0.3885542168674699,-1.48447806220773,-492.8467166529664,-1.5343263717724385,-0.8907885973466445,-553.2701228113929,0.8129317570359582,7.680722891566265,0.22500000000000006,0.0,-2.587275932677874,0.7101062070791015
B3_SUI_1d,B_mean_reversion,B3,SUI,1d,69,0.2898550724637681,-14.638887503566789,-1010.0832377461085,-2.8833725231095233,-1.0400372503056543,-971.1990964258802,0.3902642876341593,8.623188405797102,0.225,0.0,-2.2233602591476616,0.474626441651175
B3_TON_1h,B_mean_reversion,B3,TON,1h,764,0.4712041884816754,0.014648819862532431,11.191698374974777,0.08571160015488918,0.04330454992285724,-258.4416278407622,1.0063085300257593,8.484293193717278,0.22500000000000003,0.0,-2.770364032517199,0.809013015121107
B3_TON_4h,B_mean_reversion,B3,TON,4h,199,0.4371859296482412,-0.3634049325520528,-72.3175815778585,-0.505869812738435,-0.2901298589060397,-249.25935527814457,0.9273406329604468,9.407035175879397,0.2250000000000001,0.0,0.04641173600244616,1.0068713949854307
B3_TON_1d,B_mean_reversion,B3,TON,1d,33,0.36363636363636365,-8.733300133682352,-288.1989044115176,-1.9427825890935888,-0.6848657363333425,-420.8108087790853,0.48077812070897563,9.272727272727273,0.225,0.0,-5.4951475786821415,0.1300833787824508
B4_BTC_4h,B_mean_reversion,B4,BTC,4h,2206,0.31867633726201267,-0.3446809778373427,-760.366237109178,-0.5807442834732719,-0.7598085464748123,-1000.7339883671394,0.9126319088847655,7.393472348141432,0.22500000000000003,-0.004274540537169469,-0.23488025715671745,0.9685601654592858
B4_ETH_4h,B_mean_reversion,B4,ETH,4h,2195,0.3275626423690205,0.06967017948116515,152.9260439611575,0.0888986141612527,0.19276967867402975,-793.3096377659726,1.0138675923780756,7.243280182232346,0.22500000000000003,-0.016064528678813948,0.48231232564358395,1.0722816335732026
B4_SOL_4h,B_mean_reversion,B4,SOL,4h,1534,0.30247718383311606,-0.4039367045978362,-619.6389048530807,-0.4229385662092396,-0.3928686921730315,-1577.21629948607,0.9367030501187443,7.614080834419817,0.22500000000000006,-0.022417946675356494,-1.5596624966752621,0.8115485100738322
B5_BTC_1h,B_mean_reversion,B5,BTC,1h,2118,0.4707271010387158,-0.3985724000416755,-844.1763432882686,-3.8240269662363886,-0.8060206989012695,-1047.3382934694,0.7805433732756228,4.490557129367327,0.22500000000000003,-0.001493704603399055,-3.147709278274192,0.8322854923705434
B5_ETH_1h,B_mean_reversion,B5,ETH,1h,2185,0.47048054919908466,-0.5900993485047497,-1289.367076482878,-3.367253399059906,-0.7420072271635197,-1737.6745525939923,0.7575825996577731,4.381235697940504,0.22500000000000006,-0.002484287643020774,-4.639058081160831,0.7668682098581076
B5_SOL_1h,B_mean_reversion,B5,SOL,1h,1483,0.5097774780849629,-0.2523342103747644,-374.2116339857756,-1.4172442325057337,-0.6713795453154717,-557.3771745011071,0.9110858407318511,4.467296021577883,0.22500000000000003,-0.00508482703978388,-3.65486733983799,0.8013586522531799
B5_AVAX_1h,B_mean_reversion,B5,AVAX,1h,1333,0.4883720930232558,-0.3052951224556433,-406.9583982333725,-1.692078166599045,-0.6273487373053548,-648.6956520887842,0.8958524881346213,4.4748687171792945,0.22500000000000006,-0.004928891035258809,-4.806322698529374,0.7604384869976164
B5_LINK_1h,B_mean_reversion,B5,LINK,1h,1610,0.5204968944099378,-0.20536603998754696,-330.6393243799506,-1.379945665654114,-0.6940885377804088,-476.3647667159087,0.9187151339919539,4.583229813664596,0.22500000000000006,-0.0023892795341612476,-1.4283669352380557,0.9186385864699453
B5_BNB_1h,B_mean_reversion,B5,BNB,1h,1720,0.49011627906976746,-0.42135049078465886,-724.7228441496133,-3.2777320866296327,-0.9266680820217326,-782.073817162742,0.798839272455807,4.73953488372093,0.22500000000000003,0.0,-0.47362820123150273,0.9722237964627288
B5_ADA_1h,B_mean_reversion,B5,ADA,1h,1576,0.491751269035533,-0.46801176461713184,-737.5865410365998,-3.1975355480725236,-0.9597404875746143,-768.5270659994499,0.8175922841809822,4.511421319796955,0.22500000000000006,0.0,-3.1784822091732767,0.8115086862533402
B5_DOGE_1h,B_mean_reversion,B5,DOGE,1h,1328,0.5338855421686747,-0.24802828089723264,-329.38155703152495,-1.2895802142610235,-0.6906805164384704,-476.89423574592473,0.912830562577295,4.140060240963855,0.22500000000000006,0.0,-2.754741328503181,0.8511889608350803
B5_XRP_1h,B_mean_reversion,B5,XRP,1h,1493,0.49765572672471536,-0.6161914593289416,-919.9738487781099,-3.9763466338581606,-0.9871922555033648,-931.9095076460253,0.7707632714307942,4.207635632953784,0.22500000000000003,0.0,-4.531598130865181,0.7601238221264652
B5_SUI_1h,B_mean_reversion,B5,SUI,1h,744,0.5416666666666666,-0.06139196746537351,-45.67562379423789,-0.3970882609871021,-0.18133852249008103,-251.88042323845605,0.9774897485178793,4.525537634408602,0.22500000000000003,0.0,0.4879663376888143,1.0274147873865804
B5_TON_1h,B_mean_reversion,B5,TON,1h,395,0.5012658227848101,-0.536183064583563,-211.7923105105074,-4.416962015155723,-0.9785092039422444,-216.44386139367194,0.7517790412109846,4.610126582278481,0.22500000000000006,0.0,-1.7550589211278642,0.9003678191364467
